ChampionId,AllyAdvice,EnemyAdvice
79,Try to knock enemies back into your towers with Explosive Cask.,"Body Slam is on a very low cooldown, making it difficult to pursue Gragas. Don't overextend yourself chasing him."
104,Using Quickdraw to get into range and delivering a point blank Buckshot can do lots of damage.,Leaving the Smoke Screen's area of effect removes the harmful effect immediately.
120,Devastating Charge deals more damage based on the distance traveled. Try using Onslaught of Shadows or Summoner Spells such as Ghost or Flash to maximize this damage.,Hecarim's ultimate causes opponents to flee in terror. Spread out to reduce his power in fights.
74,"The success of Electron Storm Grenade is very important to Heimerdinger's survival. The slow and stun both are capable of keeping enemies in place long enough to punish them, but it is also the first line of defense against a surprise attack.","Be wary of Heimerdinger's Upgrade!!!, as he can use it to find an answer to most trouble he gets into. Once his ultimate is down, go in for the kill!"
420,"Spirits inherit their target's current health. If making a Vessel  is your goal, try whittling your opponent's health down a bit first to make killing the spirit easier.","When your spirit gets pulled out, fight back if you can. Dealing damage to Illaoi reduces the spirit's duration."
39,"Defiant Dance is not interrupted by crowd control, try timing it for incoming disables.","Minion waves greatly enhance Irelia's mobility, beware fighting her inside one."
427,Use Brushmaker to set up future ambush spots!,Ivern's brush has a long duration. Watch out for ambushes!
40,Quickly firing a Howling Gale without the charge up can be used to heavily disable the other team.,Listen for the charge up sound on Howling Gale in case Janna is trying to hit you with it from off screen or from brush.
59,Split your basic attacks on different champions at the beginning of fights to maximize damage.,"Cataclysm's terrain is a frightening force to fight against, but movement abilities can go through it."
24,Jax benefits greatly from items that have both Ability Power and Attack Damage such as Guinsoo's Rageblade and Hextech Gunblade.,Jax can dodge all incoming attacks for a very short amount of time and stuns enemies in melee range when it ends. Wait to strike him until after his dodge is finished.
126,"If you find yourself taking lots of damage, try using Jayce's Hammer Stance, as it grants you additional defenses.","If you see Jayce drop his Acceleration Gate, be careful, he is probably about to cast Shock Blast."
202,Your ultimate deals significantly less damage to enemies with full health. Look to pick off weakened targets as they run away.,Jhin places invisible traps around the map. Watch where you step!
222,Jinx's rockets deal full damage to all enemies in the explosion. Use them on minions in lane to hit nearby enemy champions without drawing minion aggro.,Jinx's ultimate does less damage the closer you are to her.
145,Work with your teammates to set up your Ultimate and optimize damage with your passive.,Kai'Sa is very vulnerable to getting outranged by mages and long range carries.
429,Entering a move order once to trigger Martial Poise will not clear Kalista's basic attack target.,"Kalista cannot cancel her basic attack wind up. While she is very mobile, this offers a window to land spells on her if you anticipate when she will begin attacking."
43,"When using Focused Resolve, slow your opponents with Inner Flame or speed yourself up with Inspire if you're having trouble sticking to a target. ",Karma's Soulflare erupts for bonus damage in the area in which it's placed. React quickly and escape the circle to avoid taking heavy damage.
30,Lay Waste is very strong at farming minions and harassing enemy champions.,"Make sure you always have enough health to survive Requiem, even if you have to go back to the base more frequently to heal."
38,"Kassadin's ultimate has many uses and is on a shorter cooldown than most, use it often.","Each time Kassadin consecutively uses Riftwalk, he pays more and more mana. Keep this in mind as you chase him."
55,"Try waiting until the other team is distracted with fighting your team, and use Shunpo to teleport into the fray and unleash a devastating Death Lotus.",Try to save a disable for when Katarina uses her Death Lotus.
10,Kayle's attacks become incredibly powerful once she gains attack range from Divine Ascent. Play safe until then. ,"Kayle is usually a fragile target. If you see her ultimate cast on an ally, switch to attacking her."
141,Remember that nearby enemies can see which wall you're in.,"When Kayn is in terrain near you, you will get a visual warning on the edge of the terrain he's in."
85,"Lightning Rush can be used to initiate fights with its Energy return component, allowing him to use other abilities afterward.",Kennen is flimsy by nature - turn and attack him if he gets careless with Lightning Rush.
121,Unseen Threat activates when Kha'Zix cannot be seen by the enemy team. Reactivate by using brush or Void Assault. Don't forget to apply Unseen Threat by autoattacking enemy champions.,Leap and Void Assault have long cooldowns. Kha'Zix is very vulnerable when these are not available.
203,Pick which Hunts you want to pursue carefully; getting many of them is the key to success as the game goes on.,Clear the Hunts Wolf activates on jungle camps to slow down Kindred's damage output.
240,The last hit of Violent Tendencies deals more damage than the first three - make sure you hit it!,"Watch Kled's courage bar when he's off his mount - when it reaches 100%, he will remount and regain a significant amount of health."
96,Use Void Ooze to set up a perfect Living Artillery.,Run away from Kog'Maw after he dies!!!!
7,Using Distortion can help your positioning to land Ethereal Chains.,"The fake LeBlanc created at a distance will always run at the nearest Champion, cast a harmless spell, then immediately disappear."
64,Take advantage of Flurry by weaving in basic attacks between spell casts - this maximizes damage output and minimizes Energy loss.,Lee Sin has powerful tools to combat physical damage in Iron Will and Cripple but he is still vulnerable to magic damage.
89,Shield of Daybreak and Zenith Blade form a powerful offensive combo.,"Only foes in the center of Solar Flare get stunned, so you can often avoid this if you're quick."
127,Casting Glacial Path and then running in the opposite direction will leave your enemies uncertain which way you will actually go.,Lissandra's Ring of Frost has a long cooldown at early ranks; engage her while it's on cooldown.
236,Ardent Blaze actually explodes in a star pattern. Try to line it up so the spokes hit enemy champions.,Lucian cannot change the aim of The Culling. Take advantage of this by avoiding the angle of the bullets.
117,"Consider casting Help, Pix! on ranged attackers for the Pix boost and Wild Growth on Tanks or Fighters for the added initiation power.",Lulu excels when opponents heavily commit. Don't give her this chance! Use heavy harass tactics instead to force Lulu and her partner out of lane.
99,"If you have trouble landing Prismatic Barrier, remember that it returns to you after it reaches max range. Try positioning yourself to hit your allies with its return trip.","When retreating with low health, be prepared to dodge Lux's Final Spark, a red targeting beam fires prior to the main beam, so try to move to the side if possible."
54,"Despite his abilities scaling on Armor, some games require Malphite to get Magic Resist. When those games occur, try getting Aegis of the Legion, Mercury's Treads, and Guardian Angel.",Malphite is one of a couple tanks who are capable of jungling. Watch out if he gets Smite.
90,Use Call of the Void and Nether Grasp to renew the duration of Malefic Visions on enemies.,Avoid minion waves that have been affected by Malefic Visions. You never know when they may die and pass the Visions onto you.
57,Try looking for flanks or other situations where Nature's Grasp is unavoidable or takes enemies by surprise.,The cooldown on Maokai's self healing is heavily gated on how many time you hit him with spells. Careful about wasting abilities on him.
11,Wuju Style is very strong early for last hitting minions.,"If Master Yi tries to farm with Alpha Strike, hit him a few times so he has to use mana with Meditate to heal."
21,Use Double Up on the furthest enemy minion if enemy champions are hiding in back; it will bounce to them for lots of damage.,Miss Fortune is easy to kill if you can reach her; target her first in team fights.
62,Try using Decoy near brush to make an enemy overreact to your movement.,Wukong becomes tougher to kill when surrounded by his enemies. Try to isolate him to gain an advantage.
82,Hitting multiple champions with the same ability can help quickly activate Darkness Rise.,"Damage he deals can be converted into a large shield, and consumed for health"
25,Items that provide survivability allow Morgana to become extremely difficult to kill in conjunction with Black Shield and Soul Shackles.,Morgana often needs to land Dark Binding to setup her other attacks. Use your minions as shields against Dark Binding.
267,Using Ebb and Flow during an engagement with enemy champions will help sway the battle in your favor.,"Tidal Wave has a very long range but travels slowly, be aware of when it is coming your way as you can move out of its path."
75,"If you're solo, Spirit Fire is a great way to farm a lane. It can be bad if you're in a lane with 2 and you push too far. Find the right balance between Siphoning Strike last hits and AoE farming.","Max rank Wither is a very effective counter to Attack Damage characters, so try to avoid getting caught alone by it."
111,Riptide has a delayed blast timing on activation - you can use this while running away or when enemies are incoming to serve as a deterrent.,"While Nautilus is shielded, he is capable of dealing large amounts of area of effect damage with his basic attacks - consider taking down the shield if you have time."
518,"Try to use Inherent Glamour sparingly, ineffective uses will put enemies on the alert.",Pop Blossom's warning visuals are invisible if Neeko is disguised.
76,"Start team fights by harassing with your Javelin Toss, and then switch to cougar form to chase down Hunted targets.","Nidalee's Javelin Toss deals more damage the farther she is. If she is far away, it's imperative to dodge it."
56,Duskbringer isn't only an offensive ability. It can be used to close distance out of combat or escape from certain death.,"Nocturne's Unspeakable Horror is broken with range, so try to save your movement abilities for when he casts it."
20,You can choose to interrupt Absolute Zero early for partial damage if an opponent is about to run out of range.,Using Summoner Flash is a surefire way to escape Absolute Zero.
2,The bonus healing granted by Vicious Strikes amplifies your Life Steal from all sources as well as heals from allies.,Preventing Olaf from reaching his axe will minimize the amount of harassment he can cause in the laning phase.
61,Command: Dissonance is a very powerful escape tool if Orianna has the Ball. The combination of speed and leaving a slowing obstacle can be quite powerful.,Watch out for Orianna's Ball returning to her due to leashing. This may cause some unexpected situations.
516,Volcanic Rupture can be used to set up zoning areas to threaten enemies.,Attack Ornn to keep him from creating items in lane.
80,Whittle the enemy down with Comet Spears before you jump in.,Be careful near Pantheon if your health is low - a thrown Comet Spear executes low health enemies.
78,"Keeper's Verdict can be released immediately to send the enemy straight up, take advantage of this in duels.","When Poppy starts to spin her hammer, she is charging Keeper's Verdict."
555,Hitting an enemy with the Hold version of Bone Skewer will always pull them the same distance. Use it in melee range to throw targets behind you.,"When Pyke is hidden nearby in his Ghostwater Dive, sharks will circle underneath your feet."
246,,
133,"Vault is powerful but must be used with caution, as enemies can attack Quinn when she strikes them. Vault can sometimes be used to cross terrain if your back is to a wall.",Keep tabs on Quinn's position. Behind Enemy Lines can enable Valor to cross the map very quickly and attack you by surprise.
497,Rakan's dash speeds increase with his movement speed. Use the extra speed to surprise your enemies!,Champions with crowd control that can be applied quickly excel against Rakan.
33,Using taunt on a champion by your tower can cause the tower to attack your enemy.,"Rammus often stacks high Armor, leaving him especially vulnerable to caster damage while not in Defensive Ball Curl."
421,Cast Burrow before travelling around the map to take advantage of the increased Movement Speed and the safety provided by Tremor Sense.,Rek'Sai's Furious Bite gains damage as she builds Fury. Be very careful around her when her Fury is full.
58,Cull the Meek drains an enormous amount of life when used in the middle of the fray. You can use this to bait opponents into thinking you are weaker than you really are.,Keeping Renekton from being able to fight and gain Fury by continually harassing him will severely reduce the effectiveness of his abilities.
107,A lot of Rengar's power comes from empowered abilities he uses at the right moment - choose wisely!,"Rengar's passive enables him to leap out of brush, so avoid fighting him when near bushes."
92,"Riven lacks a source of healing or strong defense and must compensate with burst combos. Lead into fights with Broken Wings and Ki Burst, while using Valor to escape and absorb counter-harass.","All of Riven's damage is physical, prioritize high Armor if an opposing Riven gets out of control."
68,Try and keep targets in the range of your Flamespitter. It can deal a lot of damage overtime.,"Rumble's ultimate can deal a lot of damage if you stay inside the area of effect. When you see the missiles falling, move out of the way as quickly as possible."
13,Spell Flux's short cooldown allows it to be used to spread Flux to many enemies.,Use Realm Warp's windup time to figure out how to deal with what may be coming out of the portal.
113,"Melee allies can stack Frost for your Permafrost, keep an eye on who they are attacking.",Focus on avoiding the second swing of Winter's Wrath which carries the brunt of the damage.
235,,
875,,
35,Try getting items with on-hit effects. These will also benefit your Hallucination clone.,If Shaco uses Deceive to enter a fight he won't be able to quickly use it again to get away. Work with your team to quickly focus him down.
98,Leverage your Energy to get a long-term advantage over Mana users.,"Once Shen reaches level 6, watch out for his global-range ultimate, which can turn fights quickly."
102,Flame Breath is great to level-up against difficult lane opponents.,All of Shyvana's basic abilities hit multiple enemies in dragon form. It's important for opposing champions to not cluster while fighting her.
27,Use Insanity Potion to trick your opponents into chasing you through your Poison Trail.,Singed needs to run close to your team to be effective. Try to take advantage of this by using crowd control effects on him while attacking his allies.
14,Roar of the Slayer is a great setup ability to land a very powerful Decimating Smash.,Use the time after Sion has died to reposition and prepare for his return.
15,"Ricochet resets Sivir's basic attack timer on activation, so activating this immediately after landing a normal basic attack will maximize damage output.","Sivir is a powerful pushing champion, so leaving her unattended in a lane for too long will often result in your turrets being destroyed."
72,Capturing Crystal Spires before attempting neutral objectives or team fights around them improves Skarner's performance in said fights dramatically.,"Skarner's Movement Speed is increased as long as his shield, Crystalline Exoskeleton, persists. Attack him to lower his speed."
37,Save Crescendo for the game-altering moment.,"Kill Sona first, as she will heal up her team if left alone for too long."
16,You can use Wish on your allies from across the map to save them from otherwise fatal events.,Take advantage of Soraka's long cooldown on Equinox if she uses it to harass.
50,"While laning, try to use Death's Hand's piercing damage to damage opponents from a safe distance.","High mobility counters all of Swain's basic abilities: Death's Hand does more damage the closer he is, Vision of Empire has a very long delay and Nevermove must start returning back to him to be dangerous."
517,Space out your ability usage to get maximum effect from Petricite Burst.,Try to fight Sylas when he isn't able to take your ultimate.
134,"After you hit an enemy champion with Force of Will follow up with Dark Sphere, they'll be slowed and have a hard time avoiding it.","Attack Syndra after she's used Scatter the Weak, it has a long cooldown so she'll be vulnerable."
223,"Consider carefully when to use Thick Skin's active. Sometimes shielding early to avoid further damage is good, but sometimes the healing is more beneficial.","If Tahm Kench harasses you by spitting minions at you, try going in for a trade right after he spits. His Devour will be on cooldown and you should be able to trade favourably if he can't eat you."
163,"Remember, you don't always have to ride Weaver's Wall.","Taliyah's Threaded Volley is locked into a direction. If she's throwing rocks at you, dodge to the side!"
91,"Shadow Assault is a powerful escape tool, but can also be offensively used to assault a group.",Talon is heavily reliant on Shadow Assault to escape a fight. When it is down he's significantly more vulnerable.
44,"Using Starlight's Touch at lower charges makes its healing less Mana efficient, but can greatly increase Taric's sustained damage via Bravado.",Taric reduces his spell cooldowns by basic attacking enemies with Bravado. Try to kite him in teamfights and punish him for approaching the minion wave in lane.
17,"Place your mushrooms at key locations on the map, such as by the Dragon or Baron Nashor, to reveal when your enemies might be attempting to kill them.",It can be valuable to use Oracle's Lens(Trinket) to destroy mushrooms around key locations.
412,Death Sentence and Flay can be combined in either cast order for powerful combinations.,Intentionally breaking a wall of The Box can allow a vulnerable ally to escape unscathed.
18,Use Rocket Jump after you have stacked up your Explosive Charge on an enemy to finish them off with a burst of damage.,Stand away from your creeps in a lane to take less collateral damage from Explosive Charge.
48,Use Subjugate to soften a powerful enemy tank or to create a target for your team to focus fire.,"Make sure to get out of his Pillar of Ice as quickly as possible, as it significantly slows you down."
23,Bloodlust is an excellent way to heal Tryndamere. Try not to let it fade off before you activate it.,"Remember, Tryndamere can only slow you if you are facing away from him."
4,Stealth characters often escape a battle with very low hit points. Take advantage of Destiny's ability to reveal stealthed units to finish them off.,"If you have low Health, use Destiny as an indicator to run to safety. It will give you a head start in escaping any possible ganks."
29,Contaminate has a large range; apply as many stacks of Deadly Venom as possible before using it.,"Spell Shields won't block the damage from Deadly Venom, but they will block the effects Twitch can trigger with it."
77,Udyr is one of the best junglers in the game. Taking advantage of this can give your team a large XP advantage and map control.,"Once the initial shield effect has faded, Turtle Stance is weak against other champions. Press the attack to force him to switch stances and prevent him from regenerating health."
6,Land Corrosive Charge or Disdain to lock on to target's with Purge - a great way to trigger multiple legs in rapid succession.,"Urgot can deal and absorb tremendous amounts of damage with Purge, but slows himself while firing."
110,"During short range fights it's sometimes best to fire Piercing Arrow quickly, rather than charging it to full power.","When he gets a kill or assist, Varus temporarily gains Attack Speed and is much more dangerous."
67,"Condemn can be used to both pin targets to walls to ensure a kill, or to escape a pursuer.",Deny Vayne the opportunity to pin you against walls.
45,Veigar is extremely Mana and Cooldown Reduction dependent. Try buying items with these stats in order to increase the effectiveness of your passive and Baleful Strike.,"Event Horizon only stuns units on the edge. If you're inside the spell, you can still move and attack."
161,"Shooting Plasma Fission diagonally and splitting at maximum range allows you to hit opponents that are out of the range of the initial missile, but is more challenging to pull off.",Vel'Koz has fairly low mobility and is vulnerable to ganks.
254,Excessive Force does full damage to anyone caught in the shockwave. Use it on minions in lane to hit enemies hiding behind them.,Vi will shred your Armor and gain Attack Speed if she manages to hit you three times in a row. Try not to engage in extended brawls with her.
112,Make sure you choose the right augment at the right time.,"Be aware of how many augments Viktor has upgraded by looking at the color of the light on his staff (purple, yellow, blue, red)."
8,Cast Hemoplague where it will afflict the most units.,Making Vladimir use Sanguine Pool at the start of a fight will maximize the Health cost of the ability to him.
106,,
19,"Infinite Duress (R)'s distance scales with any movement speed you gain, even from ally buffs and summoner spells.",Warwick is empowered versus low health enemies. Manage your health to keep him at bay.
498,Xayah can use Featherstorm to dodge almost any ability while also creating a ton of Feathers. Try to utilize the offensive and defensive aspects of this ability.,Long fights in the same area with Xayah will allow her to drop a lot of Feathers. Try to stay on the move!
101,Eye of Destruction will make landing Arcanopulse easier as the target will be slowed.,Xerath takes a long time to engage Rite of the Arcane. Watch for his spellcast animation and start dodging.
5,Try to position yourself so your ultimate's knockback is most effective.,"Xin Zhao relies heavily on his Three Talon Strikes for damage and cooldown resets, so preventing him from finishing his combo will have a dramatic effect."
157,"At level 18, Yasuo's Steel Tempest reaches its Attack Speed cap with 55% Attack Speed from items.","When Yasuo lands two Steel Tempests in a row, his next will fire a tornado. Watch and listen for the associated sound to prepare to dodge."
83,"The Maiden will attempt to assist you in a fight, so choose your targets well.","Try to thin out Yorick's minions before you engage him, Mist Walkers will die from a basic attack or a single target spell."
350,,
154,"When Cell Division is ready, try to die in a position that makes it difficult for the enemy team to kill your bloblets.",Kill all of Zac's bloblets when he splits apart to stop him from reforming.
238,Quickly double tapping Living Shadow will teleport Zed to his shadow immediately for rapid escapes.,"After Zed uses his Living Shadow, he is at his most vulnerable as his damage, slow, and mobility are both dependent upon it."
115,Slowing your enemies with Hexplosive Minefield makes it easier to land other abilities.,Many of Ziggs' abilities have long cooldowns. Try catching him just after he's used his abilities.
26,"Time Warp is an effective way to enable allies to finish off enemies, or escape from a losing battle.","Zilean is fragile if a team focuses on him, but otherwise he's very difficult to kill. Commit to killing him as a team."
142,"Break Sleep with your biggest damage source, since enemies who are asleep take double damage.","Zoe must return to her starting point after casting Portal Jump, making her vulnerable to a counterattack."
143,Seeds grant vision to your team.,Moving closer to Zyra can be a smart move if she places plants too far away from herself.
266,Cast World Ender when you are sure you can force a fight.,Keep your distance when Aatrox uses his Ultimate to prevent him from reviving.
103,"Spirit Rush enables Ahri's abilities, it opens up paths for Charm, helps double hitting with Orb of Deception, and closes to make use of Fox-Fire.",
84,,Return to base if your Health is low and Akali has her ultimate available.
12,Using Flash can allow you catch your target off guard to knock them back into your allies with Pulverize and Headbutt.,"When Alistar uses his ultimate, it's often better to move back and wait until the effect wears off before attacking him."
32,"Despair is very effective against other tanks, so make sure you're in range of opponents with the highest Health.",Amumu's Despair makes purchasing primarily Health items a risky proposition.
34,It can be very difficult for enemy champions to kill her egg early in game. Seize the advantage by playing aggressively.,Try to fight Anivia in the lanes. In the jungle she can block pathways with lower ranks of Crystallize.
1,"Molten Shield is a good spell to cast to work up to Annie's stun, so sometimes it's beneficial to grab at least 1 rank in it early.","Keep an eye out for a white, swirling power around Annie. It means she's ready to unleash her stun."
523,,
22,Hawkshot reveals units in brush. If a team fight is occuring in the jungle it can give you a significant advantage.,
136,Comet of Legend allows you to move quickly around the map; use it to put pressure on other lanes.,"He gains speed while chasing in a straight line, but taking damage makes him lose that momentum."
268,Think of Emperor's Divide as a defensive ability first and foremost. Use it when the enemy engages on you or your allies. Remember that your team can walk through the soldiers summoned by Emperor's Divide and use this to your advantage when enemy melee champions engage on you.,Try to think of Sand Soldiers as fire. Don't stand in the fire.
432,"Don't forget that enemies can also use your Magical Journey doorways, and that your ultimate can also hit your allies!","Bard's ultimate, Tempered Fate, affects allies, enemies, monsters, and turrets alike. Sometimes it can be to your advantage to jump into it!"
53,,
63,"Pyroclasm bounces randomly between enemies, so try to cast it on a small group of enemies if you want to hit the same target multiple times.",Brand's passive allows him to excel against teams that cluster together. Be sure to split up against him.
201,"Glacial Fissure leaves a powerful slow zone, position it well to split teamfights and slow the enemy approach.","Unbreakable gives Braum extremely strong directional defense, either wait until it is down or outposition the ability."
51,Fire 90 Caliber Net away from the opponent to close the gap or hop over walls.,
164,,
69,,
31,Using Rupture on creeps in combination with Carnivore is a good way to gain Health and Mana.,Rupture has a smoke cloud indicating the area it will strike. Try to watch out for it to prevent Cho'Gath from being able to combo his abilities.
42,Corki can continue to attack while using Gatling Gun. Maximizing Gatling Gun is key to mastering Corki.,
122,"Darius benefits greatly from enhanced survivability. The longer you can prolong a fight, the more powerful he becomes.",
131,Use Moonfall and Lunar Rush to stay on targets and activate Moonsilver Blade for extra damage.,"Diana can play very aggressively if she uses Lunar Rush without Moonlight, but you can punish her by slowing or stunning her when she has no way to get back into position."
119,,
36,"Cleavers are a powerful tool for killing neutral monsters. Instead of returning to base, farm neutral monsters until your ultimate can heal you.",
245,Phase Dive's dash is a great tool for setting up Ekko's other abilities. Use it to get double hits with Timewinder or get into position to detonate Parallel Convergence.,The second hit of Timewinder does more damage than the first; try to avoid it.
60,Elise's Spider Form and Spider Form abilities do not cost mana and can be prioritized when you are trying to conserve mana.,Rappel has a long cooldown. Elise is vulnerable after she has used it.
28,"If at low health, you can take advantage of Demon Shade's healing and Camouflage to return to the fight and surprise opponents.","If you suspect Evelynn is about to ambush one of your teammates, let them know by pinging the minimap and typing in chat."
81,You can line up Trueshot Barrage to hit multiple minion waves or even Monsters.,Mystic Shot applies on-hit effects including the Crest of Cinders.
9,,
114,,
105,Fizz's spells scale off Ability Power - consider getting items like Zhonya's Hourglass or Banshee's Veil against teams that have high burst threat - and items like Lich Bane or Rabadon's Deathcap if you think you can survive without the Health.,
3,You can use the step back from Justice Punch to dodge enemy spells.,Galio cannot traverse walls with Justice Punch.
41,Try placing Cannon Barrage on the path of escape to cut off fleeing enemies.,
86,"Garen is only constrained by cooldowns, making items such as Black Cleaver very effective for him.",Be careful about attacking Garen in brush. It often will lead to taking full damage from Judgment.
150,"Know your strengths! Mini Gnar is fast, squishy, and has high sustained damage. Mega Gnar is slow, tough, and has high burst.",Gnar's ultimate stuns if he hits you into a wall. Be careful when fighting him near one.
79,Try to combo Body Slam with Explosive Cask to set up kills for your team.,
104,,
120,,
74,"Spreading out Hextech Micro-Rockets leads to more reliable damage and more efficiency against multiple targets, but focusing it creates the biggest impact.",
420,Leap of Faith is best used to follow-up a strong engage or when being engaged upon. Be careful about being the first one into a fight.,Avoid grouping up for Leap of Faith to reduce the number of Tentacles available to Illaoi.
39,"Flawless Duet does not have a maximum travel distance, try using it in creative ways.",Beware of wasting your high impact spells on Defiant Dance.
427,Daisy can block skillshots and slow down enemies. Use her to peel for your teammates!,Be careful when fighting Ivern alone if he has Daisy ready to help!
40,Timing Janna's ultimate can push enemies away from a wounded ally or even separate enemies.,"Janna's at her strongest when buffing another ally. If you can harass her ally, it will weaken her ability to fight you."
59,Use Demacian Standard as a scouting tool when worried about incoming enemies.,
24,,
126,"For increased range and damage, try casting Shock Blast through the Acceleration Gate.","Jayce is strong in the early game. If he gains the advantage, play defensively."
202,You can still cast your spells while reloading. Use them to fill the down time.,"Jhin's attacks are quite potent, but he runs out of ammo after the 4th shot. Use this window to jump him and burst him down."
222,When a fight starts try to stay on the edge of fray by poking with rockets and Zap!. Do not run in and unload with the minigun until you feel it is safe.,Jinx's snare grenades have a long cooldown and are her primary means of protecting herself. If she misses with them she will have a hard time escaping if engaged upon. 
145,Make sure to buy items that will evolve at least 1 or 2 of your spells.,Make sure to place wards in your blind spots so you can see Kai'Sa coming.
429,"Due to her passive, Kalista's Movement Speed is effectively increased by Attack Speed.","If you can break line of sight from Kalista, including through brush, her basic attacks will miss you, falling harmlessly to the ground."
43,"Don't be too conservative with Mantra. Gathering Fire is strongest in teamfights, making it easy to recharge Mantra multiple times.",Focused Resolve is a strong disengage tool. Create distance to avoid being rooted and seek to engage afterwards.
30,,
38,Try to get the Ancient Golem buff to counteract Riftwalk's increasing Mana cost.,"It takes 6 spell casts for Kassadin's slow, Force Pulse, to become castable. If he levels up that ability, judiciously use your own skills while laning against him."
55,"Using Shunpo on an allied Champion, Dagger, or minion can be a great escape tactic.",
10,"Kayle benefits greatly from Attack Damage and Ability Power, making hybrid items like Nashor's Tooth and Hextech Gunblade very effective on her.",Kayle starts the game as a weaker melee champion. Try to put her behind before she ascends to her ranged form.
141,,"Damage Kayn while he's in Shadow Step to shorten its duration, or apply hard crowd control (stun, charm, knockup, etc) to end Shadow Step immediately."
85,"You can land an initial Mark of the Storm debuff on an opponent with Thundering Shuriken, and then add to it with Electrical Surge.",
121,Kha'Zix has a great deal of freedom to choose where and when to fight. Pick your battles carefully to succeed.,
203,Don't go in first to a large team fight. Wait for your teammates to initiate.,"When Kindred uses Lamb's Respite get inside, it stops all champions from dying."
240,Chaaaaaaaarge!!! can be cast at a great range. Try and predict where the enemy team will be by the time you reach them.,Kled is much more threatening when he has Violent Tendencies ready.
96,Make the most out of your Icathian Surprise.,The range on Living Artillery increases each rank.
7,You can chain Sigil of Malice and Ethereal Chains to prevent characters with blink from escaping for up to 4 seconds.,"Attacking LeBlanc first avoids most of her tricks, especially if she's recently used her dash, Distortion."
64,Self-casting Safeguard and using Iron Will are powerful tools for killing neutral monsters (in the jungle).,Lee Sin relies heavily on following up with his abilities. Use disables to prevent him from chaining together his abilities and attacks.
89,"You can absorb a huge amount of damage using Eclipse, but you must stay near enemies to gain the bonus duration.",
127,"Lissandra's abilities are shorter range than those of many mages. As a result, buying items that offer both ability power and defense, like Zhonya's Hourglass and Banshee's Veil, can be a great choice to help her both survive and deal damage.",Lissandra's Ice Shard only slows the first unit it hits. Approach Lissandra from behind your team's minions to avoid being slowed.
236,"Once you have chosen an angle for The Culling, you cannot change it. Pick your moment well!",Piercing Light does not give Lucian extra Attack Range. He still needs to find a target in range to line up his shot. Avoid Piercing Light by anticipating the angle Lucian will choose.
117,,
99,Lucent Singularity is a great scouting tool. Try throwing it into brush before walking into it to check for ambushes.,
54,,
90,"Avoiding damage in lane maximizes the uptime on Void Shift, increasing Malzahar's safety dramatically.",Malzahar is especially dangerous when he has built up his Void Swarm.
57,Maokai's passive makes him extremely durable against focus fire from spells - so long as he can still basic attack something.,"Maokai will avoid taking damage while he's using Twisted Advance, so don't waste your spells."
11,Try using Alpha Strike on a minion in front of an enemy champion so you are placed at a safe distance at the end of the spell.,"Although Master Yi cannot be slowed while using Highlander, other disables can stop him in his tracks."
21,Make sure to utilize Love Tap while Strut is on cooldown to maximize the active's availability.,
62,,
82,Use Realm of Death on a low health enemy to guarantee the kill and keep their stats for the rest of a teamfight.,Realm of Death will cut you off from your teammates completely. Try to save mobility spells to escape Mordekaiser once inside
25,Tormented Shadow is an excellent farming tool if you're by yourself in a lane.,"Black Shield makes Morgana immune to disabling effects, but can be broken with magic damage."
267,Nami's ultimate can come in very handy for initiating on enemies who are far away.,"Try to avoid fighting an opponent affected by Tidecaller's Blessing, it lasts a short duration so waiting it out can help you greatly."
75,"If you have low defenses, people will focus you down even during your ultimate. Try buying some survivability items even in your DPS builds.",Nasus is prone to being kited. Try not to engage him at full Health.
111,,
518,,
76,Bushwhack traps deal damage based on their victim's current Health. Set them up in your team's backline before fights break out during sieges to help your team deal damage to the enemy frontline.,"Nidalee's Takedown deals extreme damage to Hunted targets, but she has to get close to use it. Save your crowd control or defensive abilities for when she goes in for the kill."
56,Use Shroud of Darkness in tandem with Paranoia's dash. Your opponents may panic and waste a critical disable on your spell shield.,
20,It's often beneficial to delay the casting of Absolute Zero until the initial round of disables are used. Try to hang back before rushing into a team fight.,"Biggest Snowball Ever moves very fast but cannot turn as quickly, so don't try to escape it by running away in a straight line.  Instead, make sudden, sharp turns."
2,,"Olaf has reduced defenses from damage during Ragnarok, despite being immune to disables. If you can't escape from Olaf during Ragnarok, try focusing your damage on him with your teammates."
61,Command: Shockwave can be used to drag enemies towards you or away from you if you position the Ball properly.,
516,The order of your abilties matters! Try to optimize Brittle usage.,
80,"If an enemy is going to get out of range of your Aegis Assault, you can recast the spell to immediately fire the shield slam.",Grand Starfall gives several seconds of warning before Pantheon arrives. Use this time to get out of the way or to form a plan to deal with him.
78,,You can step on Poppy's shield to deny it from her.
555,The Tap version of Bone Skewer is much faster and deals additional damage.,"Try not to stand near low health allies. If Pyke executes them using Death From Below, you might be next on the list."
246,,
133,"Use Behind Enemy Lines for traveling very long distances quickly, for farming minions around the map, or for chasing wounded targets.","When Quinn is using Behind Enemy Lines, damaging her removes her movement speed bonus temporarily."
497,Danger is as fun as you let it be.,Catching Rakan with no allies around severely inhibits his mobility. Try to find him alone.
33,"Tremors and Defensive Ball Curl can be used late in the game to obliterate towers. If you're bogged down in a team fight, it is often valuable to break off and attack the buildings.",
